Year,Month,Day,Site,SumOfSumVolume
2020,1,8,8,27144
2020,1,9,8,26711
2020,1,10,8,28715
2020,1,11,8,21703
2020,1,12,8,16370
2020,1,13,8,24866
2020,1,14,8,27402
2020,1,15,8,24056
2020,1,16,8,26070
2020,1,17,8,29561
2020,1,18,8,20785
2020,1,19,8,18008
2020,1,20,8,27674
2020,1,21,8,29169
2020,1,22,8,30066
2020,1,23,8,29841
2020,1,24,8,30237
2020,1,25,8,21505
2020,1,26,8,18645
2020,1,27,8,26128
2020,1,28,8,28136
2020,1,29,8,28153
2020,1,30,8,29291
2020,1,31,8,30610
2020,2,1,8,27128
2020,2,2,8,20181
2020,2,3,8,25664
2020,2,4,8,28695
2020,2,5,8,29924
2020,2,6,8,29495
2020,2,7,8,30122
2020,2,8,8,26983
2020,2,9,8,19178
2020,2,10,8,26340
2020,2,11,8,28502
2020,2,12,8,28905
2020,2,13,8,29857
2020,2,14,8,29280
2020,2,15,8,22529
2020,2,16,8,17223
2020,2,17,8,24535
2020,2,18,8,25380
2020,2,19,8,27286
2020,2,20,8,28360
2020,2,21,8,29252
2020,2,22,8,22001
2020,2,23,8,17729
2020,2,24,8,25531
2020,2,25,8,27835
2020,2,26,8,29484
2020,2,27,8,29683
2020,2,28,8,31170
2020,2,29,8,22929
2020,3,1,8,18142
2020,3,2,8,26011
2020,3,3,8,28297
2020,3,4,8,29312
2020,3,5,8,29714
